comment_message,Sentiment
White Sneakers zalora brand yang ada zip tepi tu nanti ada keluar lagi tak?,neutral
Letitia Chai,neutral
pm,neutral
This Dean?,neutral
Migo Hhy,neutral
yes my fav <3 but now doesn't  look like this hahaa.. major change of hairstyle!,positive
Oooooo..lol..ok,neutral
Pushing the heart to admire the design.,neutral
Hazirah Hidayat working shoes?,neutral
"nice, how much?",positive
Hm,neutral
How much,positive
Budok Belalang Nurr Hazirah ????,neutral
Hahahhaha,neutral
Nurul Najihah Ismail Fahmi Elmi Suaaidah,neutral
Mimie Omey,neutral
Mahai ado hahaha,positive
bags,neutral
USE Coupon COde ZBAP7FFJ for 15% OOF,neutral
boss boleh order jam,neutral
Mirul Aizat,neutral
[[PHOTO]],neutral
[[STICKER]],neutral
Reza Zahid Amir.... ramlah Ram ??,neutral
Ora podo turupo sesuk golek upo dari sobatmu duda merana,neutral
Nk slim n fitt.. plzzz.. hu2,neutral
Hasmuni Lina,neutral
[[STICKER]],neutral
Happy New year to all zalora,positive
Hi get upto 20% dicount coupon code:ZBAP7FFJ,neutral
Faid Emad Altkrity,neutral
??? ???,neutral
Hm,neutral
"black size 6, how much",positive
How much prize?,positive
Prize plz..,neutral
How much,positive
How much?,positive
Pm,neutral
Lanje cu.,neutral
hahahaha Rozita Ibrahim,positive
[[STICKER]],neutral
[[STICKER]],neutral
Kiven Kigen hadiah 1,neutral
1,neutral
Luqman Hadi nak,neutral
Shila Natasha ??,neutral
Halizah ZahariJuliessa Ell ????,neutral
Astagaaaa ko x keja ka ni?????,neutral
Halizah Zahari keja ba,neutral
Celine Hong,neutral
What a horrible styling!,negative
Pm,neutral
Hi Zalora.,neutral
Can u check ur inbox?,neutral
"Dear Zalora, please find this post a request to provide (not the best but at least) essential customer service.",positive
This is the first time my order had a snag and the experience had bene an unpleasant one.,negative
"Not only was I let down for never being able to receive my goods, it became painful to attempt communication with you.",negative
"I have ordered on the 13th (216935972) and yesterday my order was ""refunded"" in store credits without notice/explanation.",neutral
"Customer service answered the phone, couldn't explain what happened and gave me only one option to provide my bank account details.",neutral
He could not even understand that as a customer the thing I want most is simply my items.,positive
He said he will email me for account details immediately.,neutral
He never sent the email.,neutral
I wrote in an email to ask for an explanation.,neutral
It's been a day ago and yet no answer.,neutral
"Now, after waiting for more than 24 hours since sending in the email, I am sufficiently disappointed by you.",negative
I really do not want anything to do with you anymore.,negative
Answer me and I just want my money back please.,neutral
"always lying to consumer, the delivery process never happened but they put a lot stories ....... [[STICKER]]",neutral
Can’t believe this!,neutral
Come on #zalora !!,neutral
!,neutral
Same happen to me order 3 item on the 12 of december in early morning,positive
Not even 1 item receive...,neutral
Really great zalora....clap clap clap....????????????????,positive
Salam sis..sya nk bli bju dri zalora tp x tahu nk bli mcmna..ble x sis bgi sya no wasp sis,neutral
Etsuko Cheryl cantik.,neutral
Sila beli.,neutral
??,neutral
Siti Sariff tak boleh masuk leh,neutral
Berapa  sis,neutral
Pm,neutral
Nadia Habib,neutral
Dun u ever dare to dream..this one sold out even faster than before..,neutral
aduh.. i will find a strategy for get it,neutral
Rachel Khoo for secret santa,negative
“I’m the gift”,neutral
yup ;) ;),positive
[[GIF]],neutral
Lol,positive
Mok ku beli tok k g dinner ngn bg razi hahahahahahahaha Fatin Zulaikha Muhammad Agus,neutral
Ngkah rah geruk laaaa.,neutral
Bok cun makei palazzo hahahahahahaaa,neutral
Puteri Nazlin bole kot tukar style ????,neutral
wahhh cntik nye,neutral
blh pakai g wedding zana nnti,neutral
Its not my wedding.,neutral
Its yours.,neutral
I wont get married.,positive
I dont trust people,neutral
Fashion industry is fucked up right now,negative
AyuArrow Kitchen Ismaliana Ismail Marlina Borhan Ellyna Balqis x sw beliko nk oda nie,neutral
"yakk...,ni sesuai nge body yana..hahaha..",neutral
AyuArrow Kitchen haahah ayu jgk lh pndai kelih,neutral
Holah body dio gak x leh lawe kito...hahaha,neutral
kalu luna paka longar lajok..hahaha,neutral
AyuArrow Kitchen Ellyna Balqis pade tepek kertas jh,neutral
[[STICKER]],neutral
"esok nati nih nyo takir pok2 dio..mek ya pah ko kito raso bertugas jgk ni male ni,..hahaha",neutral
AyuArrow Kitchen ok lh ayu tmn ore ore tmn ayu kata sahbt sejati,positive
AyuArrow Kitchen sdp ngato teh Hahaaaa ado dok saiz aku ya....Izat keno tepek nga double tape psal dio kering,neutral
Kato doh tubik doh sore...hahha,neutral
Navanitham Raman jom beli,neutral
??????,neutral
omg..??????,neutral
Michelle Chong want mou,neutral
RaInbow Bow,neutral
Ke Ying,neutral
WHY I CANNOT USE MY SHELL110 VOUCHER SINCE YESTERDAY?,neutral
"MADE A CALL TO YOUR CS, WAS GIVEN THE ANSWER “IT’S NOT IN OUR SYSTEM”..",neutral
THAT’S FUNNY CONSIDERING IT’S A COUNTRY-WIDE CROSS PROMOTION WITH THE BIGGEST FUEL BRAND HAT I WAS GIVEN THIS ANSWER BY YOUR CS..,positive
NOTICE THE CAPITAL LETTER?,neutral
THIS MEANS THAT I AM NOT HAPPY WITH THIS AND THE ANSWER GIVEN BY YOUR CS,negative
WHY I CANNOT USE MY SHELL110 VOUCHER SINCE YESTERDAY?,neutral
"MADE A CALL TO YOUR CS, WAS GIVEN THE ANSWER “IT’S NOT IN OUR SYSTEM”..",neutral
THAT’S FUNNY CONSIDERING IT’S A COUNTRY-WIDE CROSS PROMOTION WITH THE BIGGEST FUEL BRAND HAT I WAS GIVEN THIS ANSWER BY YOUR CS..,positive
"WAS ASKED TO EMAIL THE SCREENSHOT OF THE “ERROR”, AND THE REPLY MIGHT TAKE 1-2 BUSINESS DAYS..",neutral
NOTICE THE CAPITAL LETTERS?,neutral
THIS MEANS THAT I AM NOT HAPPY WITH THIS AND THE ANSWER GIVEN BY YOUR CS,negative
Like zalora product,neutral
Hai macam mana sye nak cancel pesanan sye tersilap buat pesanan barang bayar bile barang diterima di rumah,neutral
Hmmm can't seem to access the link on the post,neutral
Zsa Zsa Padilla hahahaahahah,neutral
[[STICKER]],neutral
[[STICKER]],neutral
Elyanie Basri,neutral
Bulu lagiii...cantik yang warna pink ??????,negative
[[GIF]],neutral
"Watie Dee, Intan Didie, Darna Kirana, Aida Ian, ElsyeQiqi Chong",neutral
Adehhhhh,neutral
????,neutral
Victoria Carmen,neutral
"Congratulations, Rainie Lian!",neutral
You are official one of the #TribeGlamazone.,neutral
Thank you to all who participated in this giveaway!,neutral
We have contacted the winner individually.,neutral
This much-anticipated #BalmainXLoreal lipstick collection is available right now on ZALORA.,positive
Don't miss out!,neutral
I would very much likeTribeCouture please.,positive
#TribeRock,neutral
hahahaha!,positive
#TribeRock,neutral
#TribeGlamazone ???????,neutral
#TribeGlamazone ??,neutral
#TribeCouture,neutral
#TribeGlamazone ??,neutral
#TribeGlamazone,neutral
#TribeRock,neutral
#triberock,neutral
#TribeGlamazone ??,neutral
#TribeGlamazone ?,neutral
#TribeRock <3 <3 <3,positive
#TribeGlamazone,neutral
#TribeGlamazone,neutral
#TribeCouture,neutral
#TribeRock <3,positive
Nursuhaida Suhod Erni Ismael Wan Hasnezareena Wan Omar,negative
Anisatul Mabrurah Tisiyanah Abd Baki Emylia Abd Baki,neutral
#TribeGlamazone #BalmainxLorealxZALORA,neutral
Hm?,neutral
Elda Elvina,neutral
Darlin Athin,neutral
stok abis bnyk zalora,neutral
nasib rupe ko cantek!,neutral
kalau org buruk pakai da rupe org gila!,neutral
tak elok cakap macam tu.,neutral
Normazura Chik,neutral
Nur Anati Anis Rani,neutral
Ohh twin.,neutral
Aku pike namanya kwon twin??,neutral
Lol HAHAHAAHA,positive
Nah Mimi Norfazila,neutral
FattFa couple Msia.. Mcm SongSong couple Korea,neutral
Farah Najwa,neutral
Nida UL Islam,neutral
Muzlia Mustapa blh pkai buat kje niii ??????,neutral
Huihhh.. amek yg nike lepas keje bole pakai terus gi gym.. 2 in 1,neutral
[[STICKER]],neutral
How much?,positive
Hi Zalora!,neutral
I purchase an item from your apps on 21st Nov.,neutral
I notice the item was packed and shipped out on 23rs Nov.,neutral
But until now havent reach.,neutral
Super slow....why not using PosLaju instead of other courier providers?,positive
Norash Ashikin Ismail Nora,neutral
Cun...,neutral
Fify Alia Muhd Haffyz pleaseeeee reallyyyyy need thissssssss,neutral
Sold out in malaysian .,neutral
Sampai atyyy,neutral
[[STICKER]],neutral
Dil Abbas we totally deserve thissss!!!,neutral
!,neutral
Mai fadzli asked me of i wanted this the last time he came down..its in the drugstore in his area but i decided not tp buy it after going through the lipstick in nyx..texture of some of the lipsticks are very drying.. especially the satin lipstick,positive
Love Aireen babe u should have this!,positive
[[GIF]],neutral
Nae Niy bestnya lipstik banyak ginii.,neutral
Hahhaaha lipstik je boleh pi pon.,neutral
Lain2 takdak pasaii hahhaha,neutral
haah la wehhh bestnyaa kalau ada mcm ni satuu,neutral
Kann.,neutral
Hahaha hari2 tkar wanee,positive
tu laaa bestt nya kalau ada satu mcm tu .. adehai,neutral
"Nik Azlina Nik Mustapa,tak nk tambah koleksi ke?",neutral
Nur Izzati tak mau try ke?,neutral
Akak beli crayon dah la??,neutral
Sy lipstick setahun sebatang pun xhbs...crayon jgkla geng k.zura??,neutral
nakkkkkkkkk,neutral
Cassandra D'Silva Siva needs to get this for u!,neutral
??,neutral
Sarah Mai one day each ??????,neutral
yeah... Christmas goals !,neutral
hahaha,positive
Fernandez Endoz can i have this ?,neutral
*mata blink blink <3,positive
Yaka.. Ok mh aaa,positive
please cariii.. hehehehe...,neutral
Nazihah Zakariah where to get this jihaa ??????,neutral
Nak nak...tp mcm xpenah nmpk je.entah2 kt sgpore ada kot,neutral
Tris Nhing for my bday and  Christmas gift pls ??????????,neutral
Turog ako s date na yan.,neutral
Tris Nhing ok goodnyt and advance ??????,positive
????,neutral
Adi Adly this one pls,neutral
Melissa Kelang i think of you when i see this,neutral
If u think about me.buy for me please ????????????,neutral
Ahem ??,neutral
Hahaha so nice those lipstick ????,positive
Woww... kmk suka kmk suka.. nong DE Lyn DA jommm polah cmtok kta,neutral
Jomm gems ????,neutral
Jom2... heheh.. dpt kta 2 x bgong fkir wana lpstik,neutral
Skali ngga kaler ya jak dipake ari2.. Yg lain perhiasan.. ????????,neutral
Ng tauk cmya klak,neutral
Mohd Iqbal Can U Buy This For Me ?,neutral
Mss Chinta heee mcm biase,neutral
Purani Maran I want this for my bday!!,neutral
!,neutral
Then we share share ??,neutral
Mrna Ftn another one..ni best!,positive
Bestnyaaa.,neutral
If camni i pun nak!,neutral
Aerul Hafiz jum tambah koleksi bini ??,neutral
Iera Fazierah heaven klu mcm nie hahaua,neutral
blh tk dpt hadiah mcm ni time konvo nnt hahaha,positive
Hahahaha kne cri abam doktor cpt2 laa,positive
[[STICKER]],neutral
[[STICKER]],neutral
How much is this???,positive
??,neutral
Cik Ateh...adoiii...tgugat iman..huhu,neutral
Ya ampun...menangiss tengok ??,neutral
[[STICKER]],neutral
Waaaaaaaaa best nyaaaaaaa ???????? nakkkkkkkk,positive
?? ????????????,neutral
??? ?????????????,neutral
?? ???,neutral
??? ????????,neutral
RM200 zalora??,neutral
???,neutral
Ai En Nakkkkkkkk.....,neutral
Wow,positive
Hudah Alattas klu sephora sg ada bilang i tau dgn price hehe,neutral
Alright kalau pergi I check,neutral
Aishah Berham... tergoda dhhhh.....,neutral
Mak aihhh..bez gler ni ????????,neutral
Ari2 aku nk tukor kaler... hahahah,neutral
Mane nak beli ni selain dr zalora,neutral
Elly Elle cantik kan nookkk...,neutral
wahhh.. blh x nk mcm ni Shamsul Azmil,neutral
boleh epa ;),positive
[[STICKER]],neutral
[[STICKER]],neutral
i want it!!!,neutral
!,neutral
Shamsul Azmil beli buat hantaran la??,neutral
Siti Nadira nahhh nie terbaik utk u.. Hehehe,neutral
Yoshnee this can get ah ?,neutral
yea u want ah?,neutral
I want but how much is it first,positive
65 USD,neutral
San Loo what u saw,neutral
Mohd Zamrie syg belikan please.....,neutral
[[STICKER]],neutral
Ok fine.,positive
Chakun Fthn belanje i pelisss ??????,neutral
Udeh xckup ke lipsticks yg saya berikan kepada kome?,neutral
Tyra Atieyrah nie mesti kamu And Farah Mustafa suka hehehe,neutral
cntik colour dye....,neutral
Nk doc Amina Jalil..tp doc blnje la????,neutral
As Along.. nk yg ni,neutral
[[STICKER]],neutral
Archanaa Linaa any idea to buy.. ??,neutral
Anni!!!,neutral
Went crazy fr this.,negative
Hopefully cn find here??????,neutral
U can buy online dear...  RM200,neutral
Nida Ragni Muniandy  nt bad anni?? ill look fr someone to sponsor ??,negative
Hahaha....good idea ??,neutral
Nida Ragni Muniandy but is it original NYX?,positive
Archanaa Linaa I think so coz it stated sold by N Y X Professional Makeup... or u can call the customer service to find out...,positive
Fadzilah Azman Ain Syuhada korang kan suka benda2 ni,neutral
[[STICKER]],neutral
No Nong Rina Irdina DE Lyn DA msti ktk org suka tok..,neutral
Fazzy Khan.. Cntk nya,neutral
Bibi Atiqah beli satuu,neutral
Kat mana ?,neutral
Zalora...,neutral
Betul ke ??,neutral
Berapa ?,neutral
Tny #zalora,neutral
Tanyakan laa,neutral
Kita x knl dia,neutral
[[STICKER]],neutral
Abdul Rahman Aman blanje pless??????,neutral
amik2..,neutral
[[STICKER]],neutral
FArina FAkharuzi Belikan....  ??,neutral
?????? serius Best wehh.. Setahun x abes pakai ni.,positive
Jom pi carik... bayar pakai debit ko.,neutral
Hahahhaaaa,neutral
Belikan tuk akak jugak FArina FAkharuzi ??????,neutral
Alamak... Larik ??????????hahahahaa,neutral
[[STICKER]],neutral
puan Syken Mustafa tis plak ??,neutral
Bunsoy oh Galvez Rona,neutral
Bet na bet ko yan ??,neutral
Nga nga!,neutral
??????,neutral
He he he tra n Punta tau Zalora...  ????????,neutral
Meron atta zalora sa mitsui ate.,neutral
Myron ba...,neutral
[[PHOTO]],neutral
He hehe tara n.a.,neutral
bunso....AKO ttingin lng??????,neutral
Bukas bakbakan n kmi ...bongga tlga pgod ko to bukas????,neutral
Hahaha.,positive
Tulog na kuha nan energy,neutral
Adriana Lu anda berani ?,neutral
ksih belikan la hahaha,positive
Jr Myer Tony..pleaseeeee??????,neutral
Nana De Castro jum carii,neutral
Woaaaaa .,neutral
Kan best ikut date hahahahaha .,positive
Mna maw cari wei?,neutral
Nana De Castro shitnyaaa statement!!,neutral
Ikut date baa bilangg ??????,neutral
Syiera Latip hahahaha yala .,positive
Ikut color tudung jak la .,neutral
Klau pkai tdung pink .,negative
Lips kena pink .,negative
But u kena stop pakai tudung Hitam la kalau mcm tu,neutral
Justz Wann I want thiss,neutral
Vatos Locos belanja ni ??,neutral
Azura Azmi beli ni zura,neutral
Naavin Arro see !,neutral
!,neutral
Klo ang sanggup pkai keler unggu beli la,neutral
Naavin Arro blh tlg belikan,neutral
Bek aku beli pki sndri,neutral
Vimala Sridharan ma buy for me??,neutral
Rembatt!,neutral
Zarra Khaizara,neutral
[[GIF]],neutral
Suren Dran Vicneswaran Govindarajoo plssss cc: Mohanah Mahendran Kogilah Paneerselvam,neutral
Guys pls buy for us,neutral
plsssss,neutral
Plsssssss,neutral
Plsss thambhingelaaaaa,neutral
Owh behysha pannirlam...,neutral
Innum 5 varushatuleh...,neutral
Unggele summa ve paake mudiyaathu...ithule daily Lipstick potu vera paake mudiyaathu,neutral
pakki,neutral
??,neutral
Claire Kueh hint hint ??,neutral
Merry Christmas Sacredly Ahmadiouz ??,neutral
Hmm mahallll,neutral
Ilakkiya Jeyanti Danapal,neutral
????????????????????????,neutral
Aina Kaisara tantekkk,neutral
waduhh hahhahaa,neutral
aku suke sgt kaler pepel tuuuu,neutral
Nomie Ahmad jom beli,neutral
jommmmm...i love it,positive
Azah Kaseh beli ni,neutral
Za Nabhan i want,neutral
Wan Zx bli,negative
nak ni Sairulanuar,neutral
jom but,neutral
buat,neutral
Sairulanuar Kamaruddin buat ape ?,neutral
?,neutral
Ain Nasuha Safie lipstik mcm ni..,neutral
Sairulanuar Kamaruddin i nak beli !!,neutral
bukan nak buat ??,neutral
Ain Nasuha Safie nnti i beli k,neutral
Emelia Temeliang i wan tis,negative
Zaa Fira .,neutral
??????,neutral
Ada haritu i tgk.. go go!,neutral
!,neutral
Berapa ?,neutral
Xperasan pulak.. haha esok i pergi tgk,positive
Hahahahhahaha .,neutral
Esok terus .,neutral
Maceh yayaaa,neutral
Saifulakmal Jamaluddin nakkkkkkkk,neutral
Azlan Mohamad ????????????,neutral
Nisha Sasidharan Gaayathri Naidu SivaKumar DeEpaa Manohan nice kan,positive
Nithya NantaKumar..belikan tuk aku wey..??,neutral
My birthday next month...beli kan for me ??,neutral
[[STICKER]],neutral
Mira Azha Nurul Afniza ??????,neutral
i wannttttt!!,neutral
!,neutral
Nakkk.. tp xnk pink sgt mcm nurul tuh,negative
Rhea Aznira ????,neutral
Thank u kak!,neutral
My birthday is cominggg.,neutral
Your birthday pass already.. ??????,neutral
Belated laa.,neutral
Eliz Song Yoke Hui buy this,neutral
Thank you boss??,neutral
[[GIF]],neutral
[[IMAGE_SHARE]],neutral
Omg !,neutral
Natasha Adrina,neutral
Samantha Annie Nathan ????,neutral
Weyh I saw this la.,neutral
I'm in love,positive
Farhana Sabeli Eyla Fazieyla MizGit Karen Apo,neutral
Jesuthasan Pachiappan nak ini,neutral
Azrul Naim menarikkk,neutral
Tuan Rosma Syamimi????,neutral
Geram tgk bnyk sngt nie ????,neutral
Tuan Rosma Syamimi kn cntik????,neutral
Shasha Arianna Abdullah Eka QhairishNana BakerEka QhairishHanee Nazya,neutral
niceeeee!,neutral
!,neutral
Sharmila Manavala ???????,neutral
Iliey Chik Miza Ashz,neutral
Nurul Adnin,neutral
Shantini,neutral
I waaannn!,neutral
????,neutral
LogeSwary Nair,neutral
Errana Chai,neutral
Kimberly Ilangovan,neutral
Ilyana Farha,neutral
terbaik...tolong design kan,neutral
dulu na buat camni kau taknak hahahha,neutral
Geetha Baluras,neutral
You want to buy for me??,neutral
Norul Zuliani Sulaiman,neutral
Terbang duit??,neutral
Nurul Syuhaida Abdul Razak,neutral
Menarik betul ni!,neutral
??,neutral
Aishah Siddiqah Alimuddin awk pn dah terjebak ke,neutral
Haha.. kak syu menjebakkan sy ??,positive
Sun Sun,neutral
Nurul Atiqah Anas,neutral
Keisha Shekeena,neutral
Anira Haris..,neutral
Hari jadi Sy bulan depan... ??,neutral
Ok..saya tagged Karyabudi Mohd Aris ??????,neutral
Dia dah kena request make up pallets.. lipstick tade sape lagi nak kasi Hadiah ??????,neutral
Eica Cullen ??,neutral
Omg!!!!,neutral
??????????,neutral
Nuratiqah Eka,neutral
Jia Yi Teh,neutral
Fitri Ashraf,neutral
Ada lip gloss x??,neutral
Shikin MN,neutral
weiii nangis.. sume kaler ade.. nakkk,neutral
"Hafiza Zubib,Amalina Ahmad Zubib??????",neutral
Redzuan Mansor ????,neutral
Dayang Nor Armah...,neutral
Kau maukkah,neutral
Haha..mahal.iya kan,neutral
Rind Mulyani Sadri,neutral
Fatin Nabilla,neutral
Aimi Nadhirah Hashim Syafiqah Roslan,neutral
Siti Hamira,neutral
nakkkkkkkkkkkkkkkkkkkkkk,neutral
Siti Nur Rehan,neutral
Syoknya.,neutral
Blh msuk dlm dream list.,neutral
Haha,positive
Suma wrna ada,neutral
Buh purple tue mai reja tgok jd pa,neutral
Hahahaha .,positive
Terang sgt purple tue.,neutral
Saheh kens bahan,neutral
Nurul Nurliyana,neutral
Wiwin Suhaimi,neutral
Samantha Tiang,neutral
Walao.,neutral
I thought it's u?,neutral
?? u need it more than me.,positive
Lolz..,neutral
Bellz Zky,neutral
Izzul Aswad,neutral
Laila Sabiha Md Saberi,neutral
Aina Nabila Zulhadi hamik!,neutral
Tan Sze Chia,neutral
Intan Syazwani Mohamed Hasnul,neutral
Schaidatina Lee,neutral
Oh myyyyyy oh myyyy....,neutral
Aduh rasa berlari g sephora..,neutral
Jom Azza Azmir Nik Nurul Nadia,neutral
Shaanthini R Jaya Kumar ????,neutral
jom jom....!!,neutral
rambang mata masuk kt kak pora... ????,neutral
bile wakakkaka abehla duit,neutral
Omg omg omg ??????,neutral
Jom kita visit nanad,neutral
"So we all on the same page, hahahaha!!!!",positive
Addictive ????,neutral
Hahahaha...lets plan visit together,neutral
Schaidatina Lee yeahhh please!!,neutral
!??,neutral
hahahahaahha abes laaaaa bile nk pegi tue....?,neutral
?,neutral
Sujatavani Gunasagaran,neutral
Enny Darwinna,neutral
Maokkkkkkkkkk,neutral
Brindha Rajan,neutral
Daniel Lee tq,neutral
Hahaha calendar!,positive
!,neutral
BiBi Ngoan,neutral
"La?i sephora jbcc mà mua, 1 cây nhiêu ?âu, h?n rm30 thui ah.",neutral
Keu c mua chu e k xai,neutral
"C có 2 cây nyx roài  ?? du?ng lâu h?t l?m, thi thoa?ng quét quét trét trét tý thui mà",neutral
"Ca?i hô?p na?y mua phí $ ta?i nhiê?u ma?u ko du?ng ?c, mi?nh mua l? ma?u mi?nh thi?ch vâ?n h?n",neutral
Xin Yee,neutral
Sangeetha Perumal I want ??,neutral
Zalora vaa,neutral
Ahmad Shukran Fauzlan,neutral
Berapa harga,neutral
"i think Kate do it better in so many ways,,, she being herself and natural",positive
Kate still stunning ??????,positive
Your online shopping is bullshit.,neutral
My wife was trying to buy one of the bags and you removed it from her cart because the personal shoppers are buying them by the hundreds.,neutral
Your e-commerce system is rubbish.,neutral
"Hi there Alexey, first and foremost, our apologies for the unpleasant experience you or your wife had encountered.",negative
Kindly allow us to address the concern you have raised above.,positive
"Generally, when an item is added into the shopping bag, it is not secured until payment is completed and/or order is confirmed.",positive
"Considering the Ribag Mini was selling fast, we are afraid it is unavoidable that the item may have gone out of stock and was simultaneously removed from her shopping bag before your wife were able to complete her purchase.",positive
"Nevertheless, we are working really hard to ensure a seamless launch next time and we would like to take this opportunity to sincerely apologise for the inconvenience caused in your shopping experience this time around.",positive
I just sent a message to Rizalman to not sell these exclusively through you.,neutral
You don't seem to understand how online shopping is supposed to work.,neutral
Nang lah J,neutral
Berapa,neutral
this bag not sale?,neutral
?,neutral
Pm price,neutral
pm harga,neutral
Hajar Jumari dpt ke?,neutral
Yg ni xmo.. Nak yg lg satu,neutral
Xjd beli??,neutral
Nak yg ni [[PHOTO]],neutral
Siau Chui ur boy grown up liao,neutral
Jia Yen,neutral
now everyone can be cinderella..,neutral
What is that raincoat for socks,neutral
Merecik boots dia Norashikin Mat Nasir hoi......tulunnnnn ??????,neutral
Wow!,positive
Hat transparent tu mabeles.,neutral
Nnt skodeng,neutral
TherThia Kansas,neutral
Wow..skali jalan alu terpelusuk,neutral
Ker Lei Lee,neutral
how much this bag,positive
Tharenee Gunasekaran,neutral
Shiina Ai,neutral
"Ahaha, Shini Park",neutral
Nur Shahmil Hana,neutral
Zurina Yahya Zureen,neutral
Adziani Che Ojang,neutral
Ha ah dah selamat 2 dah Wa..mkn bag la bulan ni ?????????,neutral
Adziani Che Ojang ... kunyah lumat2 kak ??,neutral
Zuwa Diy hahaha sis cuba..??,positive
Adziani Che Ojang alahaiiii.,neutral
Kak.. pajak kt sy je ??,neutral
Brp,neutral
Hilmi Zaidi musang tdo kat lazada,neutral
Wutoh 10% pum mahal,neutral
If only your server can support the traffic.,neutral
My transaction failed right at 23.58mins!,negative
Good job Zalora!,positive
#plscomeback15.,neutral
U gotta be kidding,neutral
"If no wrong, the Zalora promotion is valid until 12/11 tho.",positive
Thanks....i m still trying my luck but their items r really flying off the shelves....the apps can't process coz the quantity keeps disappearing,positive
I got no luck too.,neutral
The maintenance started at around 11:30pm yesterday.,neutral
20% discount juz gone like tat...anyways im ok with 15,positive
Sharinatul Atiey,neutral
Pm,neutral
looks like adidas...from way back in the day.,neutral
"You should  come abang and experience the beauty and amazing spa ,, enjoy a warm, relaxed, yet refined ambience.",positive
Aida Abdullah Casin Khim Cano Villar Casin Saliza Abdullah Noniey Ernie zalora buat iklan ritz carlton,neutral
Aliah Idrus ??,neutral
Congratulations to both personality have a beautiful life together,positive
beautiful couple ??,positive
Oppaaa,neutral
So pretty,positive
Lovely couple,positive
Nurul Izzati Azhari Iera Lazin hihihi,neutral
Nur Hidayah,neutral
"hmm,,  so jisub ada lagi hahaha",positive
Alex Ze Gawing,neutral
Yaya Yyuya,neutral
ZBAPQGB2 voucher code 15%,neutral
Nor Raihan Bostari tok nya mekap IT ya.haha????,neutral
Hahahahaha......juhhhh maiii....tduak....haha...ngutik juak ngga owww,neutral
Farah 'Izzati Noraini Ayob Nurul Izatie Ridzwan Aishah Radzuan cantik gak bulu mata palsu dia..jom p bli,neutral
"Blaise Bateman, Tanith Nadia, V-wangwang Saw SiewYee",neutral
Oh wow,positive
Karina Soh Rachael Chee Christine Ng,neutral
Reli susah to remove d make up lo later,neutral
